       Value     Percentile TotalCount 1/(1-Percentile)    |          Value     Percentile TotalCount 1/(1-Percentile) 
                                                           |                                                           
    10.00000 0.000000000000        176           1.00      |       10.00000 0.000000000000          6           1.00   
    10.00000 0.100000000000        176           1.11      |      184.00000 0.100000000000         40           1.11   
    10.00000 0.200000000000        176           1.25      |      350.00000 0.200000000000         80           1.25   
    10.00000 0.300000000000        176           1.43      |      505.00000 0.300000000000        120           1.43   
    10.00000 0.400000000000        176           1.67      |      593.00000 0.400000000000        160           1.67   
    20.00000 0.500000000000        246           2.00      |      723.00000 0.500000000000        200           2.00   
    20.00000 0.550000000000        246           2.22      |      788.00000 0.550000000000        220           2.22   
    20.00000 0.600000000000        246           2.50      |      877.00000 0.600000000000        240           2.50   
    21.00000 0.650000000000        261           2.86      |     1339.00000 0.650000000000        260           2.86   
    40.00000 0.700000000000        289           3.33      |     1823.00000 0.700000000000        280           3.33   
    41.00000 0.750000000000        305           4.00      |     1882.00000 0.750000000000        300           4.00   
    50.00000 0.775000000000        310           4.44      |     1922.00000 0.775000000000        310           4.44   
    51.00000 0.800000000000        320           5.00      |     1964.00000 0.800000000000        320           5.00   
    61.00000 0.825000000000        342           5.71      |     2013.00000 0.825000000000        331           5.71   
    61.00000 0.850000000000        342           6.67      |     2082.00000 0.850000000000        340           6.67   
    71.00000 0.875000000000        358           8.00      |     2151.00000 0.875000000000        350           8.00   
    71.00000 0.887500000000        358           8.89      |     2175.00000 0.887500000000        355           8.89   
    73.00000 0.900000000000        360          10.00      |     2194.00000 0.900000000000        360          10.00   
    82.00000 0.912500000000        366          11.43      |     2221.00000 0.912500000000        365          11.43   
    91.00000 0.925000000000        374          13.33      |     2243.00000 0.925000000000        370          13.33   
    95.00000 0.937500000000        376          16.00      |     2260.00000 0.937500000000        377          16.00   
   101.00000 0.943750000000        381          17.78      |     2261.00000 0.943750000000        380          17.78   
   101.00000 0.950000000000        381          20.00      |     2261.00000 0.950000000000        380          20.00   
   111.00000 0.956250000000        383          22.86      |     2272.00000 0.956250000000        384          22.86   
   119.00000 0.962500000000        385          26.67      |     2273.00000 0.962500000000        385          26.67   
   122.00000 0.968750000000        388          32.00      |     2290.00000 0.968750000000        388          32.00   
   142.00000 0.971875000000        390          35.56      |     2293.00000 0.971875000000        389          35.56   
   142.00000 0.975000000000        390          40.00      |     2300.00000 0.975000000000        390          40.00   
   163.00000 0.978125000000        394          45.71      |     2319.00000 0.978125000000        392          45.71   
   163.00000 0.981250000000        394          53.33      |     2329.00000 0.981250000000        393          53.33   
   163.00000 0.984375000000        394          64.00      |     2339.00000 0.984375000000        394          64.00   
   172.00000 0.985937500000        395          71.11      |     2349.00000 0.985937500000        395          71.11   
   172.00000 0.987500000000        395          80.00      |     2349.00000 0.987500000000        395          80.00   
   203.00000 0.989062500000        396          91.43      |     2358.00000 0.989062500000        396          91.43   
   223.00000 0.990625000000        397         106.67      |     2359.00000 0.990625000000        397         106.67   
   223.00000 0.992187500000        397         128.00      |     2359.00000 0.992187500000        397         128.00   
   234.00000 0.992968750000        398         142.22      |     2369.00000 0.992968750000        398         142.22   
   234.00000 0.993750000000        398         160.00      |     2369.00000 0.993750000000        398         160.00   
   234.00000 0.994531250000        398         182.86      |     2369.00000 0.994531250000        398         182.86   
   245.00000 0.995312500000        399         213.33      |     2379.00000 0.995312500000        399         213.33   
   245.00000 0.996093750000        399         256.00      |     2379.00000 0.996093750000        399         256.00   
   245.00000 0.996484375000        399         284.44      |     2379.00000 0.996484375000        399         284.44   
   245.00000 0.996875000000        399         320.00      |     2379.00000 0.996875000000        399         320.00   
   245.00000 0.997265625000        399         365.71      |     2379.00000 0.997265625000        399         365.71   
   254.00000 0.997656250000        400         426.67      |     2389.00000 0.997656250000        400         426.67   
   254.00000 1.000000000000        400                     |     2389.00000 1.000000000000        400                  
#[Mean    =     33.17000, StdDeviation   =     38.36054]   |   #[Mean    =   1043.15000, StdDeviation   =    769.58182]
#[Max     =    254.00000, Total count    =          400]   |   #[Max     =   2389.00000, Total count    =          400]
#[Buckets =            1, SubBuckets     =       262144]   |   #[Buckets =            1, SubBuckets     =       262144]
